Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,5.897000,5.917000,5.866000,5.890000,5.890000,219270842
2020-05-08,5.922000,5.991000,5.913000,5.965000,5.965000,201498100
2020-05-11,5.969000,6.015000,5.917000,5.942000,5.942000,242520903
2020-05-12,5.936000,5.966000,5.896000,5.957000,5.957000,296580700
2020-05-13,5.949000,5.998000,5.925000,5.988000,5.988000,181636818
2020-05-14,5.969000,5.987000,5.943000,5.957000,5.957000,105288532
2020-05-15,5.958000,6.013000,5.950000,5.968000,5.968000,206094940
2020-05-18,5.974000,5.992000,5.916000,5.937000,5.937000,136333749
2020-05-19,5.970000,6.007000,5.963000,6.004000,6.004000,111359004
2020-05-20,5.996000,6.004000,5.938000,5.957000,5.957000,167472199
2020-05-21,5.961000,5.975000,5.878000,5.886000,5.886000,128992674
2020-05-22,5.864000,5.885000,5.766000,5.785000,5.785000,217581298
2020-05-25,5.782000,5.801000,5.743000,5.761000,5.761000,140951624
2020-05-26,5.795000,5.875000,5.783000,5.869000,5.869000,211395210
2020-05-27,5.874000,5.875000,5.808000,5.832000,5.832000,230830742
2020-05-28,5.827000,5.856000,5.750000,5.816000,5.816000,147257950
2020-05-29,5.792000,5.871000,5.791000,5.864000,5.864000,143863500
2020-06-01,5.922000,6.064000,5.922000,6.061000,6.061000,184966412
2020-06-02,6.080000,6.085000,6.023000,6.055000,6.055000,109653300
2020-06-03,6.070000,6.099000,6.042000,6.045000,6.045000,156634119
2020-06-04,6.062000,6.073000,6.023000,6.056000,6.056000,135571300
2020-06-05,6.056000,6.075000,6.023000,6.070000,6.070000,85836800
2020-06-08,6.095000,6.120000,6.047000,6.057000,6.057000,105238481
2020-06-09,6.058000,6.110000,6.042000,6.093000,6.093000,116606228
2020-06-10,6.093000,6.105000,6.063000,6.101000,6.101000,102457427
2020-06-11,6.101000,6.180000,6.050000,6.090000,6.090000,143250031
2020-06-12,5.990000,6.127000,5.984000,6.091000,6.091000,191241804
2020-06-15,6.085000,6.158000,6.078000,6.084000,6.084000,235523000
2020-06-16,6.127000,6.197000,6.127000,6.194000,6.194000,143456389
2020-06-17,6.209000,6.255000,6.191000,6.244000,6.244000,166932900
2020-06-18,6.243000,6.268000,6.222000,6.260000,6.260000,181171800
2020-06-19,6.260000,6.330000,6.251000,6.306000,6.306000,207345754
2020-06-22,6.303000,6.349000,6.294000,6.302000,6.302000,203239017
2020-06-23,6.302000,6.334000,6.271000,6.330000,6.330000,199014515
2020-06-24,6.331000,6.352000,6.300000,6.331000,6.331000,135311755
2020-06-29,6.325000,6.325000,6.271000,6.303000,6.303000,164061309
2020-06-30,6.313000,6.428000,6.313000,6.396000,6.396000,228522400
2020-07-01,6.414000,6.429000,6.358000,6.424000,6.424000,225911200
2020-07-02,6.422000,6.554000,6.403000,6.539000,6.539000,232724398
2020-07-03,6.544000,6.629000,6.524000,6.626000,6.626000,306299839
2020-07-06,6.675000,6.990000,6.675000,6.941000,6.941000,546028000
2020-07-07,7.012000,7.126000,6.925000,7.010000,7.010000,446169618
2020-07-08,6.994000,7.171000,6.970000,7.150000,7.150000,262289837
2020-07-09,7.143000,7.354000,7.130000,7.341000,7.341000,259071352
2020-07-10,7.304000,7.404000,7.281000,7.330000,7.330000,259532341
2020-07-13,7.337000,7.567000,7.337000,7.563000,7.563000,222480782
2020-07-14,7.558000,7.558000,7.315000,7.463000,7.463000,333273985
2020-07-15,7.462000,7.512000,7.238000,7.307000,7.307000,357515198
2020-07-16,7.296000,7.376000,6.909000,6.942000,6.942000,391618121
2020-07-17,6.942000,7.062000,6.889000,6.947000,6.947000,314846950
2020-07-20,7.020000,7.156000,6.950000,7.151000,7.151000,369576426
2020-07-21,7.168000,7.228000,7.129000,7.191000,7.191000,196781114
2020-07-22,7.183000,7.365000,7.157000,7.261000,7.261000,227122377
2020-07-23,7.200000,7.278000,7.051000,7.253000,7.253000,230264721
2020-07-24,7.231000,7.239000,6.881000,6.909000,6.909000,299099197
2020-07-27,6.920000,6.964000,6.841000,6.905000,6.905000,211283502
2020-07-28,6.955000,7.009000,6.916000,6.976000,6.976000,204811400
2020-07-29,6.936000,7.184000,6.930000,7.174000,7.174000,214342518
2020-07-30,7.178000,7.214000,7.128000,7.149000,7.149000,210045925
2020-07-31,7.147000,7.280000,7.085000,7.224000,7.224000,272478144
2020-08-03,7.268000,7.399000,7.249000,7.398000,7.398000,236460959
2020-08-04,7.401000,7.417000,7.321000,7.354000,7.354000,177469888
2020-08-05,7.355000,7.449000,7.294000,7.424000,7.424000,166667303
2020-08-06,7.425000,7.460000,7.305000,7.443000,7.443000,139651040
2020-08-07,7.421000,7.425000,7.227000,7.350000,7.350000,144752058
2020-08-10,7.310000,7.437000,7.290000,7.385000,7.385000,121800225
2020-08-11,7.366000,7.425000,7.237000,7.252000,7.252000,116414373
2020-08-12,7.220000,7.240000,7.029000,7.160000,7.160000,203621518
2020-08-13,7.179000,7.230000,7.150000,7.193000,7.193000,152941400
